ASSIGNED TO,DATE ASSIGNED,EXPECTED COMPLETION,Section,ISSUE DESCRIPTION,PRIORITY,CONTACT,ASSIGNMENT,DATE RECORDED,CAD Assigned to,Actions Taken,On Hold?,STATUS,COMPLETE
Sid,4/15/2016,4/29/2016,10,Clarify fuse tables between  1-10-5 and 12-4-2 Cliff we just had the discussion about what is the proper fuse size to use for the 50kVA isolation transformer without secondary tied to it. The fuse size should be a 25k and this is referred to on OH Spec. page 1-10-5. I have been trained and have been utilizing Table 1 for fusing of all OH transformers 4.8 & 13.2. I have also checked the sectionalizing fuses on the circuit to be sure the transformer fuse isn't larger than the sectionalizing fuse. Normally the 100KVA transformer can cause an issue with the 65K fuse application. I have had a couple of issues with this and involved Engineering and Relay. The second issue is the page identification (Title block). 1-10-4 list it as 4.8KV & 8.32KV (Parts of Pontiac) and page 1-10-5 as 13.2KV. The only time I utilized page 1-10-5 is for the capacitor fuse size. If my prior training and application of utilizing Table 1 for all OH transformers is the correct method then maybe the title blockshould be changed to reflect this. Others please feel free to add input as I may have been doing this wrong for the last 24 years. Just an FYI - I looked into my old orange-covered spec book from 1984.  These tables have not been changed much over the years.  Very much the same as current book.  The only difference being the addition of the 8.32kV heading - that happened sometime in the late 80's that DECo bought the Pontiac area from Consumer's Power.  And the addition of a bolt-on limiter column in both tables. In the orange book: 1-10-6 has the 13kV fuse table 7 (now on 1-10-5) and the capacitor fuse sizes for that voltage. This orange one is the book that was in place when I was trained and these are the 2 pages (in the current iteration) that I still use to determine the fuses for these 2 voltages.  I have always followed the main heading on the table and used the 4.8 kV table for all xfmrs at that voltage and the 13 kv table for all at that voltage.,1,,,,,,Yes,ON HOLD,
Sid,,,19,Fiberglass crossarms for barrel construction Subtransmission & Distribution,,DCOE Committee,,,,,,,
Sid,,,19,maintenance should we use polymer or porcelain insulators Section 19,,DCOE Committee,,,,,,,
Steve,11/6/2016,12/21/2016,6,4/0 Triplex preform item master and making the racks available Detail 612B,4,DCOE Committee,,,,,,LATE,
Steve,11/6/2016,12/21/2016,6,Create spec to show deadend on 4/0 triplex,4,DCOE Committee,,,,,,LATE,
Vader,,,10,Single bushing transformers on 1-10-67.1 current spec calls for two bushing transformer,,DCOE Committee,,,,,,,
Sid,,,10,Not clear where the phase tags need to be installed at FI locations. Does it make a difference if smart ,,,,,,,,,
Diana,,,16,Clarify and update the spec pages related to the number of regulators on poles or platforms.,,,"Update regulator specs based on pole loading calculations: Specs: 01-16-02; ED3722; ED 3776",,,,,,
Diana,,,12,Section 12 page 1-12-2 needs to be updated to reflect the change to grade B.,,,,,,,,,
Diana,,,2,Section 2 needs to be updated to reflect the change to min class 3 poles.,,,,,,,,,
